,LATITUDE,LONGITUDE,API,BASIN,COUNTY,WELLNAME,WELLTYPE,DATECOMP,DATESAMPLE,FORMATION,PERIOD,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,SPGRAV,PH,TDSUSGS,HCO3,Ca,Cl,KNa,Mg,Na,SO4,H2S,cull_chargeb
553,29.21399,-95.37238,4.20393E+13,Gulf Coast,Brazoria,H.L. Peterson #1 (Anshutz),Conventional Hydrocarbon,,1980-09-15,Frio Lower,Unknown,12558,12568,,,5.73,250943,,23080,154000,,1680,68100,<0.5,0.1,
550,29.20599,-95.38103,4.20393E+13,Gulf Coast,Brazoria,A.R. Rucks #1,Conventional Hydrocarbon,,1980-09-14,Frio 12700' Sand,Unknown,12702,12742,,,6.3,150628,,11360,96600,,805,39100,0.7,,
551,29.26626,-95.34162,4.20393E+13,Gulf Coast,Brazoria,W.A. Moller B 11R,Conventional Hydrocarbon,,1980-09-14,Frio 10d,Unknown,5353,5362,,,7.14,61259,,423,36600,,121,23800,2.06,,
13244,29.8132,-95.8876,4.2473E+13,Gulf Coast,Waller,W Katy Gfu #1 - I46,Conventional Hydrocarbon,,1980-05-19,Eocene Sandstone,Unknown,10200,10500,19000,1.032,7.2,44818,498,760,26900,,110,16548,2,,
13245,29.8132,-95.8876,4.2473E+13,Gulf Coast,Waller,W Katy Gfu #1 - W34,Conventional Hydrocarbon,,1980-05-19,Eocene Sandstone,Unknown,10200,10500,19000,1.036,6.8,50490,371,1020,30500,,171,18422,6,,
13860,33.67003,-102.18325,4.22193E+13,Permian,Hockley,Ellwood A #145,Conventional Hydrocarbon,,1980-05-19,Canyon,Pennsylvanian,9616,9623,10100,1.068,6.6,98039,264,4320,58500,,903,32232,1820,,
13938,29.8132,-95.8876,4.2473E+13,Gulf Coast,Waller,W Katy Gfu #1 W-31,Conventional Hydrocarbon,,1980-05-19,V Wilcox,Unknown,10200,10500,19000,1.115,6.2,161102,212,13300,99300,,1020,47270,<MDL,,
16784,29.821,-95.874,,Gulf Coast,Waller,Gf4#1,Conventional Hydrocarbon,,1980-05-19,V Wilcox Eocene Sandstone,Unknown,10200,10500,,1.047,6.6,64352,237,3720,39400,,415,20580,<MDL,,
13717,29.5046,-95.2481,4.20393E+13,Gulf Coast,Brazoria,W H Avitts A #7,Conventional Hydrocarbon,,1980-05-08,Upper Frio,Tertiary,5684,5704,6191,1.072,6.7,105780,134,1860,64500,,500,38786,<MDL,,
13369,33.5726,-102.4344,4.22193E+13,Permian,Hockley,Levelland Unit #530,Conventional Hydrocarbon,,1980-05-07,San Andres,Unknown,4761,4887,4887,1.08,7.4,109834,251,12200,67400,,2030,26603,1350,,
13714,29.4919,-95.2398,4.20393E+13,Gulf Coast,Brazoria,E  Grote #15,Conventional Hydrocarbon,,1980-05-07,Lower Frio,Unknown,5156,5166,6150,1.071,7.3,105034,368,1420,63800,,476,38970,<MDL,,
14983,27.755,-97.168,,Gulf Coast,Nueces,State Tract 883 #1,Conventional Hydrocarbon,,1980-05-07,Unknown,Unknown,10066,10112,,1.0564,6.1,73773,111.98,12359,46059.04,,728.92,13733.2,<MDL,,
